"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"2007","Italy","3 years","Age reached during the year","Number","Females","329",""
"2007","Italy","4 years","Age reached during the year","Number","Total","591",""
"2007","Italy","4 years","Age reached during the year","Number","Males","299",""
"2007","Italy","4 years","Age reached during the year","Number","Females","292",""
"2007","Italy","5 years","Age reached during the year","Number","Total","616",""
"2007","Italy","5 years","Age reached during the year","Number","Males","299",""
"2007","Italy","5 years","Age reached during the year","Number","Females","317",""
"2007","Italy","6 years","Age reached during the year","Number","Total","607",""
"2007","Italy","6 years","Age reached during the year","Number","Males","312",""
"2007","Italy","6 years","Age reached during the year","Number","Females","295",""
"2007","Italy","7 years","Age reached during the year","Number","Total","569",""
"2007","Italy","7 years","Age reached during the year","Number","Males","305",""
"2007","Italy","7 years","Age reached during the year","Number","Females","264",""
"2007","Italy","8 years","Age reached during the year","Number","Total","483",""
"2007","Italy","8 years","Age reached during the year","Number","Males","247",""
"2007","Italy","8 years","Age reached during the year","Number","Females","236",""
"2007","Italy","9 years","Age reached during the year","Number","Total","434",""
"2007","Italy","9 years","Age reached during the year","Number","Males","230",""
"2007","Italy","9 years","Age reached during the year","Number","Females","204",""
"2007","Italy","10 years","Age reached during the year","Number","Total","425",""
"2007","Italy","10 years","Age reached during the year","Number","Males","220",""
"2007","Italy","10 years","Age reached during the year","Number","Females","205",""
"2007","Italy","11 years","Age reached during the year","Number","Total","393",""
"2007","Italy","11 years","Age reached during the year","Number","Males","182",""
"2007","Italy","11 years","Age reached during the year","Number","Females","211",""
"2007","Italy","12 years","Age reached during the year","Number","Total","342",""
"2007","Italy","12 years","Age reached during the year","Number","Males","192",""
"2007","Italy","12 years","Age reached during the year","Number","Females","150",""
"2007","Italy","13 years","Age reached during the year","Number","Total","362",""
"2007","Italy","13 years","Age reached during the year","Number","Males","174",""
"2007","Italy","13 years","Age reached during the year","Number","Females","188",""
"2007","Italy","14 years","Age reached during the year","Number","Total","327",""
"2007","Italy","14 years","Age reached during the year","Number","Males","175",""
"2007","Italy","14 years","Age reached during the year","Number","Females","152",""
