Tipo di indicatore demografico,Sesso,Età,Territorio di origine,Seleziona periodo,Tipo di trasferimento,0
totali cancellati,femmine,fino a 17 anni,Toscana,2015,in altre regioni,1364
totali cancellati,femmine,fino a 17 anni,Toscana,2016,in altre regioni,1465
totali cancellati,femmine,65 anni e più,Toscana,2015,in altre regioni,984
totali cancellati,femmine,65 anni e più,Toscana,2016,in altre regioni,1048
totali cancellati,femmine,18-39 anni,Toscana,2015,in altre regioni,4170
totali cancellati,femmine,18-39 anni,Toscana,2016,in altre regioni,4261
totali cancellati,femmine,40-64 anni,Toscana,2015,in altre regioni,2339
totali cancellati,femmine,40-64 anni,Toscana,2016,in altre regioni,2524
totali cancellati,maschi,fino a 17 anni,Toscana,2015,estero,741
totali cancellati,maschi,fino a 17 anni,Toscana,2016,estero,842
totali cancellati,maschi,65 anni e più,Toscana,2015,estero,298
